idx,file,strict_q,relaxed_q,hits,seconds,saved_hits,error
1,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283305_bin.33.faa,0,65,717,0.571,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283305_bin.33.faa.diamond.tsv,
2,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR656999_bin.22.faa,1,112,1376,0.635,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR656999_bin.22.faa.diamond.tsv,
3,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14693218_bin.39.faa,0,65,814,0.602,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14693218_bin.39.faa.diamond.tsv,
4,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14017481_bin.15.faa,2,62,741,0.555,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14017481_bin.15.faa.diamond.tsv,
5,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14000827_bin.15.faa,0,100,1246,0.645,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14000827_bin.15.faa.diamond.tsv,
6,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283452_bin.59.faa,0,53,561,0.534,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283452_bin.59.faa.diamond.tsv,
7,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283259_bin.7.faa,0,89,1071,0.706,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283259_bin.7.faa.diamond.tsv,
8,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283166_bin.33.faa,0,41,437,0.539,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283166_bin.33.faa.diamond.tsv,
9,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR23999438_bin.28.faa,0,82,880,0.554,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR23999438_bin.28.faa.diamond.tsv,
10,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR658821_bin.15.faa,0,59,850,0.709,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR658821_bin.15.faa.diamond.tsv,
11,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR657455_bin.25.faa,0,133,1605,0.630,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR657455_bin.25.faa.diamond.tsv,
12,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/ERR4283206_bin.38.faa,0,67,780,0.582,/home/mayue/model_c/results/prescreen_hits_N50_seed42/ERR4283206_bin.38.faa.diamond.tsv,
13,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR13727522_bin.10.faa,0,21,368,0.478,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR13727522_bin.10.faa.diamond.tsv,
14,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR14001034_bin.5.faa,0,121,1476,0.687,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR14001034_bin.5.faa.diamond.tsv,
15,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR8208349_bin.12.faa,0,135,1513,0.724,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR8208349_bin.12.faa.diamond.tsv,
16,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR657437_bin.24.faa,0,52,587,0.497,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR657437_bin.24.faa.diamond.tsv,
17,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR12137126_bin.5.faa,0,38,438,0.525,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR12137126_bin.5.faa.diamond.tsv,
18,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR23999423_bin.11.faa,1,82,957,0.583,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR23999423_bin.11.faa.diamond.tsv,
19,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR13776101_bin.18.faa,0,8,154,0.436,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR13776101_bin.18.faa.diamond.tsv,
20,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR3131800_bin.2.faa,26,238,2195,0.811,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR3131800_bin.2.faa.diamond.tsv,
21,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/SRR15023585_bin.11.faa,0,52,629,0.565,/home/mayue/model_c/results/prescreen_hits_N50_seed42/SRR15023585_bin.11.faa.diamond.tsv,
22,/home/mayue/bilstm/data/predict_sequence/Prodigal_result/CRR057310_bin.6.faa,0,61,687,0.618,/home/mayue/model_c/results/prescreen_hits_N50_seed42/CRR057310_bin.6.faa.diamond.tsv,
